property_id,property_name_en,criteria_txt,source_text,source_region,target_region,exchange_type,confidence,review_status,notes
377,Hattusha: the Hittite Capital,(i)(ii)(iii)(iv),"The archaeological site of Hattusha, former capital of the Hittite Empire, is notable for its urban organization, the types of construction that have been preserved (temples, royal residences, fortifications), the rich ornamentation of the Lions' Gate and the Royal Gate, and the ensemble of rock art at Yazilikaya. The city enjoyed considerable influence in A",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
379,Historic City of Toledo,(i)(ii)(iii)(iv),"Successively a Roman municipium, the capital of the Visigothic Kingdom, a fortress of the Emirate of Cordoba, an outpost of the Christian kingdoms fighting the Moors and, in the 16th century, the temporary seat of supreme power under Charles V, Toledo is the repository of more than 2,000 years of history. Its masterpieces are the product of heterogeneous civ",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
381,Old City of Salamanca,(i)(ii)(iv),"This ancient university town north-west of Madrid was first conquered by the Carthaginians in the 3rd century B.C. It then became a Roman settlement before being ruled by the Moors until the 11th century. The university, one of the oldest in Europe, reached its high point during Salamanca's golden age. The city's historic centre has important Romanesque, Got",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
389,Studenica Monastery,(i)(ii)(iv)(vi),"The Studenica Monastery was established in the late 12th century by Stevan Nemanja, founder of the medieval Serb state, shortly after his abdication. It is the largest and richest of Serbia’s Orthodox monasteries. Its two principal monuments, the Church of the Virgin and the Church of the King, both built of white marble, enshrine priceless collections of 13",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
392,Temple of Apollo Epicurius at Bassae,(i)(ii)(iii),"This famous temple to the god of healing and the sun was built towards the middle of the 5th century B.C. in the lonely heights of the Arcadian mountains. The temple, which has the oldest Corinthian capital yet found, combines the Archaic style and the serenity of the Doric style with some daring architectural features.",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
393,Archaeological Site of Delphi,(i)(ii)(iii)(iv)(vi),"The pan-Hellenic sanctuary of Delphi, where the oracle of Apollo spoke, was the site of the omphalos, the 'navel of the world'. Blending harmoniously with the superb landscape and charged with sacred meaning, Delphi in the 6th century B.C. was indeed the religious centre and symbol of unity of the ancient Greek world.",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
394,Venice and its Lagoon,(i)(ii)(iii)(iv)(v)(vi),"Founded in the 5th century and spread over 118 small islands, Venice became a major maritime power in the 10th century. The whole city is an extraordinary architectural masterpiece in which even the smallest building contains works by some of the world's greatest artists such as Giorgione, Titian, Tintoretto, Veronese and others.",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
398,Castel del Monte,(i)(ii)(iii),"When the Emperor Frederick II built this castle near Bari in the 13th century, he imbued it with symbolic significance, as reflected in the location, the mathematical and astronomical precision of the layout and the perfectly regular shape. A unique piece of medieval military architecture, Castel del Monte is a successful blend of elements from classical ant",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
400,"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue",(ii)(iv),"This site has the remains of monuments such as the Roman city of Aquincum and the Gothic castle of Buda, which have had a considerable influence on the architecture of various periods. It is one of the world's outstanding urban landscapes and illustrates the great periods in the history of the Hungarian capital.",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
404,"Acropolis, Athens",(i)(ii)(iii)(iv)(vi),"The Acropolis of Athens and its monuments are universal symbols of the classical spirit and civilization and form the greatest architectural and artistic complex bequeathed by Greek Antiquity to the world. In the second half of the fifth century bc, Athens, following the victory against the Persians and the establishment of democracy, took a leading position",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
411,Pre-Hispanic City and National Park of Palenque,(i)(ii)(iii)(iv),"A prime example of a Mayan sanctuary of the classical period, Palenque was at its height between AD 500 and 700, when its influence extended throughout the basin of the Usumacinta River. The elegance and craftsmanship of the buildings, as well as the lightness of the sculpted reliefs with their Mayan mythological themes, attest to the creative genius of this",Latin America and the Caribbean,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
412,Historic Centre of Mexico City and Xochimilco,(ii)(iii)(iv)(v),"Built in the 16th century by the Spanish on the ruins of Tenochtitlan, the old Aztec capital, Mexico City is now one of the world's largest and most densely populated cities. It has five Aztec temples, the ruins of which have been identified, a cathedral (the largest on the continent) and some fine 19th- and 20th-century public buildings such as the Palacio ",Latin America and the Caribbean,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
414,Pre-Hispanic City of Teotihuacan,(i)(ii)(iii)(iv)(vi),"The holy city of Teotihuacan ('the place where the gods were created') is situated some 50 km north-east of Mexico City. Built between the 1st and 7th centuries A.D., it is characterized by the vast size of its monuments – in particular, the Temple of Quetzalcoatl and the Pyramids of the Sun and the Moon, laid out on geometric and symbolic principles. As one",Latin America and the Caribbean,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
415,Historic Centre of Oaxaca and Archaeological Site of Monte Albán,(i)(ii)(iii)(iv),"Inhabited over a period of 1,500 years by a succession of peoples – Olmecs, Zapotecs and Mixtecs – the terraces, dams, canals, pyramids and artificial mounds of Monte Albán were literally carved out of the mountain and are the symbols of a sacred topography. The nearby city of Oaxaca, which is built on a grid pattern, is a good example of Spanish colonial to",Latin America and the Caribbean,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
416,Historic Centre of Puebla,(ii)(iv),"Puebla, which was founded ex nihilo in 1531, is situated about 100 km east of Mexico City, at the foot of the Popocatepetl volcano. It has preserved its great religious structures such as the 16th–17th-century cathedral and fine buildings like the old archbishop's palace, as well as a host of houses with walls covered in tiles ( azulejos ). The new aesthetic",Latin America and the Caribbean,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
417,"Ibiza, Biodiversity and Culture",(ii)(iii)(iv)(ix)(x),"Ibiza provides an excellent example of the interaction between the marine and coastal ecosystems. The dense prairies of oceanic Posidonia (seagrass), an important endemic species found only in the Mediterranean basin, contain and support a diversity of marine life. Ibiza preserves considerable evidence of its long history. The archaeological sites at Sa Cale",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
420,City of Potosí,(ii)(iv)(vi),"In the 16th century, this area was regarded as the world’s largest industrial complex. The extraction of silver ore relied on a series of hydraulic mills. The site consists of the industrial monuments of the Cerro Rico, where water is provided by an intricate system of aqueducts and artificial lakes; the colonial town with the Casa de la Moneda; the Church o",Latin America and the Caribbean,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
421,Tongariro National Park,(vi)(vii)(viii),In 1993 Tongariro became the first property to be inscribed on the World Heritage List under the revised criteria describing cultural landscapes. The mountains at the heart of the park have cultural and religious significance for the Maori people and symbolize the spiritual links between this community and its environment. The park has active and extinct vol,Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
425,Blenheim Palace,(ii)(iv),"Blenheim Palace, near Oxford, stands in a romantic park created by the famous landscape gardener 'Capability' Brown. It was presented by the English nation to John Churchill, first Duke of Marlborough, in recognition of his victory in 1704 over French and Bavarian troops. Built between 1705 and 1722 and characterized by an eclectic style and a return to nati",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
428,City of Bath,(i)(ii)(iv),"Founded by the Romans as a thermal spa, Bath became an important centre of the wool industry in the Middle Ages. In the 18th century, under George III, it developed into an elegant town with neoclassical Palladian buildings, which blend harmoniously with the Roman baths.",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
429,New Lanark,(ii)(iv)(vi),"New Lanark is a small 18th- century village set in a sublime Scottish landscape where the philanthropist and Utopian idealist Robert Owen moulded a model industrial community in the early 19th century. The imposing cotton mill buildings, the spacious and well-designed workers' housing, and the dignified educational institute and school still testify to Owen'",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
434,"Archaeological Sites of Bat, Al-Khutm and Al-Ayn",(iii)(iv),"The protohistoric site of Bat lies near a palm grove in the interior of the Sultanate of Oman. Together with the neighbouring sites, it forms the most complete collection of settlements and necropolises from the 3rd millennium B.C. in the world.",Arab States,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
437,Mount Taishan,(i)(ii)(iii)(iv)(v)(vi)(vii),"The sacred Mount Tai ('shan' means 'mountain') was the object of an imperial cult for nearly 2,000 years, and the artistic masterpieces found there are in perfect harmony with the natural landscape. It has always been a source of inspiration for Chinese artists and scholars and symbolizes ancient Chinese civilizations and beliefs.",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
438,The Great Wall,(i)(ii)(iii)(iv)(vi),"In c. 220 B.C., under Qin Shi Huang, sections of earlier fortifications were joined together to form a united defence system against invasions from the north. Construction continued up to the Ming dynasty (1368–1644), when the Great Wall became the world's largest military structure. Its historic and strategic importance is matched only by its architectural ",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
439,Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,(i)(ii)(iii)(iv),"Seat of supreme power for over five centuries (1416-1911), the Forbidden City in Beijing, with its landscaped gardens and many buildings (whose nearly 10,000 rooms contain furniture and works of art), constitutes a priceless testimony to Chinese civilization during the Ming and Qing dynasties. The Imperial Palace of the Qing Dynasty in Shenyang consists of 1",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
440,Mogao Caves,(i)(ii)(iii)(iv)(v)(vi),"Situated at a strategic point along the Silk Route, at the crossroads of trade as well as religious, cultural and intellectual influences, the 492 cells and cave sanctuaries in Mogao are famous for their statues and wall paintings, spanning 1,000 years of Buddhist art.",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
441,Mausoleum of the First Qin Emperor,(i)(iii)(iv)(vi),"No doubt thousands of statues still remain to be unearthed at this archaeological site, which was not discovered until 1974. Qin (d. 210 B.C.), the first unifier of China, is buried, surrounded by the famous terracotta warriors, at the centre of a complex designed to mirror the urban plan of the capital, Xianyan. The small figures are all different; with the",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
447,Ulu r u-Kata Tju t a National Park,(v)(vi)(vii)(viii),"This park, formerly called Uluru (Ayers Rock – Mount Olga) National Park, features spectacular geological formations that dominate the vast red sandy plain of central Australia. Uluru, an immense monolith, and Kata Tjuta, the rock domes located west of Uluru, form part of the traditional belief system of one of the oldest human societies in the world. The tr",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
448,Nemrut Dağ,(i)(iii)(iv),"The mausoleum of Antiochus I (69–34 B.C.), who reigned over Commagene, a kingdom founded north of Syria and the Euphrates after the breakup of Alexander's empire, is one of the most ambitious constructions of the Hellenistic period. The syncretism of its pantheon, and the lineage of its kings, which can be traced back through two sets of legends, Greek and P",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
449,Peking Man Site at Zhoukoudian,(iii)(vi),"Scientific work at the site, which lies 42 km south-west of Beijing, is still underway. So far, it has led to the discovery of the remains of Sinanthropus pekinensis , who lived in the Middle Pleistocene, along with various objects, and remains of Homo sapiens sapiens dating as far back as 18,000–11,000 B.C. The site is not only an exceptional reminder of th",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
454,Mount Athos,(i)(ii)(iv)(v)(vi)(vii),"An Orthodox spiritual centre since 1054, Mount Athos has enjoyed an autonomous statute since Byzantine times. The 'Holy Mountain', which is forbidden to women and children, is also a recognized artistic site. The layout of the monasteries (about 20 of which are presently inhabited by some 1,400 monks) had an influence as far afield as Russia, and its school ",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
455,Meteora,(i)(ii)(iv)(v)(vii),"In a region of almost inaccessible sandstone peaks, monks settled on these 'columns of the sky' from the 11th century onwards. Twenty-four of these monasteries were built, despite incredible difficulties, at the time of the great revival of the eremetic ideal in the 15th century. Their 16th-century frescoes mark a key stage in the development of post-Byzanti",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
456,Paleochristian and Byzantine Monuments of Thessalonika,(i)(ii)(iv),"Founded in 315 B.C., the provincial capital and sea port of Thessalonika was one of the first bases for the spread of Christianity. Among its Christian monuments are fine churches, some built on the Greek cross plan and others on the three-nave basilica plan. Constructed over a long period, from the 4th to the 15th century, they constitute a diachronic typol",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
481,Vat Phou and Associated Ancient Settlements within the Champasak Cultural Landscape,(iii)(iv)(vi),"The Champasak cultural landscape, including the Vat Phou Temple complex, is a remarkably well-preserved planned landscape more than 1,000 years old. It was shaped to express the Hindu vision of the relationship between nature and humanity, using an axis from mountain top to river bank to lay out a geometric pattern of temples, shrines and waterworks extendin",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
482,Historic Town of Guanajuato and Adjacent Mines,(i)(ii)(iv)(vi),"Founded by the Spanish in the early 16th century, Guanajuato became the world's leading silver-extraction centre in the 18th century. This past can be seen in its 'subterranean streets' and the 'Boca del Inferno', a mineshaft that plunges a breathtaking 600 m. The town's fine Baroque and neoclassical buildings, resulting from the prosperity of the mines, hav",Latin America and the Caribbean,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
483,Pre-Hispanic City of Chichen-Itza,(i)(ii)(iii),"This sacred site was one of the greatest Mayan centres of the Yucatán peninsula. Throughout its nearly 1,000-year history, different peoples have left their mark on the city. The Maya and Toltec vision of the world and the universe is revealed in their stone monuments and artistic works. The fusion of Mayan construction techniques with new elements from cent",Latin America and the Caribbean,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
484,Xanthos-Letoon,(ii)(iii),"This site, which was the capital of Lycia, illustrates the blending of Lycian traditions and Hellenic influence, especially in its funerary art. The epigraphic inscriptions are crucial for our understanding of the history of the Lycian people and their Indo-European language.",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
485,Hierapolis-Pamukkale,(iii)(iv)(vii),"Deriving from springs in a cliff almost 200 m high overlooking the plain, calcite-laden waters have created at Pamukkale (Cotton Palace) an unreal landscape, made up of mineral forests, petrified waterfalls and a series of terraced basins. At the end of the 2nd century B.C. the dynasty of the Attalids, the kings of Pergamon, established the thermal spa of Hi",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
488,Tower of London,(ii)(iv),"The massive White Tower is a typical example of Norman military architecture, whose influence was felt throughout the kingdom. It was built on the Thames by William the Conqueror to protect London and assert his power. The Tower of London – an imposing fortress with many layers of history, which has become one of the symbols of royalty – was built around the",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
491,Sanctuary of Asklepios at Epidaurus,(i)(ii)(iii)(iv)(vi),"In a small valley in the Peloponnesus, the shrine of Asklepios, the god of medicine, developed out of a much earlier cult of Apollo (Maleatas), during the 6th century BC at the latest, as the official cult of the city state of Epidaurus. Its principal monuments, particularly the temple of Asklepios, the Tholos and the Theatre - considered one of the purest m",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
493,Medieval City of Rhodes,(ii)(iv)(v),"The Order of St John of Jerusalem occupied Rhodes from 1309 to 1523 and set about transforming the city into a stronghold. It subsequently came under Turkish and Italian rule. With the Palace of the Grand Masters, the Great Hospital and the Street of the Knights, the Upper Town is one of the most beautiful urban ensembles of the Gothic period. In the Lower T",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
496,"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church",(i)(ii)(vi),"Canterbury, in Kent, has been the seat of the spiritual head of the Church of England for nearly five centuries. Canterbury's other important monuments are the modest Church of St Martin, the oldest church in England; the ruins of the Abbey of St Augustine, a reminder of the saint's evangelizing role in the Heptarchy from 597; and Christ Church Cathedral, a ",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
502,Historic City of Vigan,(ii)(iv),"Established in the 16th century, Vigan is the best-preserved example of a planned Spanish colonial town in Asia. Its architecture reflects the coming together of cultural elements from elsewhere in the Philippines, from China and from Europe, resulting in a culture and townscape that have no parallel anywhere in East and South-East Asia.",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
511,Archaeological Site of Mystras,(ii)(iii)(iv),"Mystras, the 'wonder of the Morea', was built as an amphitheatre around the fortress erected in 1249 by the prince of Achaia, William of Villehardouin. Reconquered by the Byzantines, then occupied by the Turks and the Venetians, the city was abandoned in 1832, leaving only the breathtaking medieval ruins, standing in a beautiful landscape.",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
516,Cliff of Bandiagara (Land of the Dogons),(v)(vii),"The Bandiagara site is an outstanding landscape of cliffs and sandy plateaux with some beautiful architecture (houses, granaries, altars, sanctuaries and Togu Na , or communal meeting-places). Several age-old social traditions live on in the region (masks, feasts, rituals, and ceremonies involving ancestor worship). The geological, archaeological and ethnolo",Africa,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
517,Archaeological Site of Olympia,(i)(ii)(iii)(iv)(vi),"The site of Olympia, in a valley in the Peloponnesus, has been inhabited since prehistoric times. In the 10th century B.C., Olympia became a centre for the worship of Zeus. The Altis – the sanctuary to the gods – has one of the highest concentrations of masterpieces from the ancient Greek world. In addition to temples, there are the remains of all the sports",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
522,Renaissance Monumental Ensembles of Úbeda and Baeza,(ii)(iv),"The urban morphology of the two small cities of Úbeda and Baeza in southern Spain dates back to the Moorish 9th century and to the Reconquista in the 13th century. An important development took place in the 16th century, when the cities were subject to renovation along the lines of the emerging Renaissance. This planning intervention was part of the introduc",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
524,Buddhist Monuments at Sanchi,(i)(ii)(iii)(iv)(vi),"On a hill overlooking the plain and about 40 km from Bhopal, the site of Sanchi comprises a group of Buddhist monuments (monolithic pillars, palaces, temples and monasteries) all in different states of conservation most of which date back to the 2nd and 1st centuries B.C. It is the oldest Buddhist sanctuary in existence and was a major Buddhist centre in Ind",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
530,Delos,(ii)(iii)(iv)(vi),"According to Greek mythology, Apollo was born on this tiny island in the Cyclades archipelago. Apollo's sanctuary attracted pilgrims from all over Greece and Delos was a prosperous trading port. The island bears traces of the succeeding civilizations in the Aegean world, from the 3rd millennium B.C. to the palaeochristian era. The archaeological site is exce",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
532,Palaces and Parks of Potsdam and Berlin,(i)(ii)(iv),"With 500 ha of parks and 150 buildings constructed between 1730 and 1916, Potsdam's complex of palaces and parks forms an artistic whole, whose eclectic nature reinforces its sense of uniqueness. It extends into the district of Berlin-Zehlendorf, with the palaces and parks lining the banks of the River Havel and Lake Glienicke. Voltaire stayed at the Sans-So",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
543,Itchan Kala,(iii)(iv)(v),"Itchan Kala is the inner town (protected by brick walls some 10 m high) of the old Khiva oasis, which was the last resting-place of caravans before crossing the desert to Iran. Although few very old monuments still remain, it is a coherent and well-preserved example of the Muslim architecture of Central Asia. There are several outstanding structures such as ",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
545,"Kremlin and Red Square, Moscow",(i)(ii)(iv)(vi),"Inextricably linked to all the most important historical and political events in Russia since the 13th century, the Kremlin (built between the 14th and 17th centuries by outstanding Russian and foreign architects) was the residence of the Great Prince and also a religious centre. At the foot of its ramparts, on Red Square, St Basil's Basilica is one of the m",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
548,Río Abiseo National Park,(iii)(vii)(ix)(x),"The park was created in 1983 to protect the fauna and flora of the rainforests that are characteristic of this region of the Andes. There is a high level of endemism among the fauna and flora found in the park. The yellow-tailed woolly monkey, previously thought extinct, is found only in this area. Research undertaken since 1985 has already uncovered 36 prev",Latin America and the Caribbean,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
549,"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",(i)(ii)(iii)(iv),"The monumental complex at Caserta, created by the Bourbon king Charles III in the mid-18th century to rival Versailles and the Royal Palace in Madrid, is exceptional for the way in which it brings together a magnificent palace with its park and gardens, as well as natural woodland, hunting lodges and a silk factory. It is an eloquent expression of the Enligh",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
550,Historic Centre of San Gimignano,(i)(iii)(iv),"'San Gimignano delle belle Torri' is in Tuscany, 56 km south of Florence. It served as an important relay point for pilgrims travelling to or from Rome on the Via Francigena. The patrician families who controlled the town built around 72 tower-houses (some as high as 50 m) as symbols of their wealth and power. Although only 14 have survived, San Gimignano ha",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
555,Birka and Hovgården,(iii)(iv),"The Birka archaeological site is located on Björkö Island in Lake Mälar and was occupied in the 9th and 10th centuries. Hovgården is situated on the neighbouring island of Adelsö. Together, they make up an archaeological complex which illustrates the elaborate trading networks of Viking-Age Europe and their influence on the subsequent history of Scandinavia.",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
557,Rock Carvings in Tanum,(i)(iii)(iv),"The rock carvings in Tanum, in the north of Bohuslän, are a unique artistic achievement not only for their rich and varied motifs (depictions of humans and animals, weapons, boats and other subjects) but also for their cultural and chronological unity. They reveal the life and beliefs of people in Europe during the Bronze Age and are remarkable for their lar",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
558,Skogskyrkogården,(ii)(iv),"This Stockholm cemetery was created between 1917 and 1920 by two young architects, Asplund and Lewerentz, on the site of former gravel pits overgrown with pine trees. The design blends vegetation and architectural elements, taking advantage of irregularities in the site to create a landscape that is finely adapted to its function. It has had a profound influ",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
560,"Archaeological Zone of Paquimé, Casas Grandes",(iii)(iv),"Paquimé, Casas Grandes, which reached its apogee in the 14th and 15th centuries, played a key role in trade and cultural contacts between the Pueblo culture of the south-western United States and northern Mexico and the more advanced civilizations of Mesoamerica. The extensive remains, only part of which have been excavated, are clear evidence of the vitalit",Latin America and the Caribbean,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
565,Kasbah of Algiers,(ii)(v),"The Kasbah is a unique kind of medina, or Islamic city. It stands in one of the finest coastal sites on the Mediterranean, overlooking the islands where a Carthaginian trading-post was established in the 4th century BC. There are the remains of the citadel, old mosques and Ottoman-style palaces as well as the remains of a traditional urban structure associat",Arab States,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
567,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,(iii)(iv),"The city of Tiwanaku, capital of a powerful pre-Hispanic empire that dominated a large area of the southern Andes and beyond, reached its apogee between 500 and 900 AD. Its monumental remains testify to the cultural and political significance of this civilisation, which is distinct from any of the other pre-Hispanic empires of the Americas.",Latin America and the Caribbean,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
574,Historic Town of Sukhothai and Associated Historic Towns,(i)(iii),"Sukhothai was the capital of the first Kingdom of Siam in the 13th and 14th centuries. It has a number of fine monuments, illustrating the beginnings of Thai architecture. The great civilization which evolved in the Kingdom of Sukhothai absorbed numerous influences and ancient local traditions; the rapid assimilation of all these elements forged what is know",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
575,Ban Chiang Archaeological Site,(iii),"Ban Chiang is considered the most important prehistoric settlement so far discovered in South-East Asia. It marks an important stage in human cultural, social and technological evolution. The site presents the earliest evidence of farming in the region and of the manufacture and use of metals.",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
576,Historic City of Ayutthaya,(iii),"Founded c. 1350, Ayutthaya became the second Siamese capital after Sukhothai. It was destroyed by the Burmese in the 18th century. Its remains, characterized by the prang (reliquary towers) and gigantic monasteries, give an idea of its past splendour.",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
579,Bronze Age Burial Site of Sammallahdenmäki,(iii)(iv),"This Bronze Age burial site features more than 30 granite burial cairns, providing a unique insight into the funerary practices and social and religious structures of northern Europe more than three millennia ago.",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
585,Historic Centre of Morelia,(ii)(iv)(vi),"Built in the 16th century, Morelia is an outstanding example of urban planning which combines the ideas of the Spanish Renaissance with the Mesoamerican experience. Well-adapted to the slopes of the hill site, its streets still follow the original layout. More than 200 historic buildings, all in the region's characteristic pink stone, reflect the town's arch",Latin America and the Caribbean,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
586,Rohtas Fort,(ii)(iv),"Following his defeat of the Mughal emperor Humayun in 1541, Sher Shah Suri built a strong fortified complex at Rohtas, a strategic site in the north of what is now Pakistan. It was never taken by storm and has survived intact to the present day. The main fortifications consist of the massive walls, which extend for more than 4 km; they are lined with bastion",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
592,Borobudur Temple Compounds,(i)(ii)(vi),"This famous Buddhist temple, dating from the 8th and 9th centuries, is located in central Java. It was built in three tiers: a pyramidal base with five concentric square terraces, the trunk of a cone with three circular platforms and, at the top, a monumental stupa. The walls and balustrades are decorated with fine low reliefs, covering a total surface area ",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
593,Sangiran Early Man Site,(iii)(vi),"Excavations here from 1936 to 1941 led to the discovery of the first hominid fossil at this site. Later, 50 fossils of Meganthropus palaeo and Pithecanthropus erectus/Homo erectus were found – half of all the world's known hominid fossils. Inhabited for the past one and a half million years, Sangiran is one of the key sites for the understanding of human evo",Asia and the Pacific,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
595,Pythagoreion and Heraion of Samos,(ii)(iii),"Many civilizations have inhabited this small Aegean island, near Asia Minor, since the 3rd millennium B.C. The remains of Pythagoreion, an ancient fortified port with Greek and Roman monuments and a spectacular tunnel-aqueduct, as well as the Heraion, temple of the Samian Hera, can still be seen.",Europe and North America,,,low,needs_human_review,Candidate generated from criterion ii presence only; exchange direction/type requires human review.
